? PBI_IndexPrices — ราคา Index (Long Format สำหรับ Power BI)		
Date	IndexName	Price
13/03/2023	Hang Seng	"17,408.27"
13/03/2023	Nikkei 225	"32,420.00"
13/03/2023	Euro Stoxx 50	"4,503.49"
14/03/2023	S&P 500	"4,656.44"
14/03/2023	NASDAQ 100	"14,843.72"
14/03/2023	Hang Seng	"17,588.65"
14/03/2023	Nikkei 225	"32,824.20"
14/03/2023	Euro Stoxx 50	"4,492.06"
15/03/2023	S&P 500	"4,636.87"
15/03/2023	NASDAQ 100	"14,906.75"
15/03/2023	Hang Seng	"17,550.45"
15/03/2023	Nikkei 225	"32,880.09"
15/03/2023	Euro Stoxx 50	"4,487.66"
16/03/2023	S&P 500	"4,667.27"
16/03/2023	NASDAQ 100	"14,641.10"
16/03/2023	Hang Seng	"16,955.77"
16/03/2023	Nikkei 225	"32,550.28"
16/03/2023	Euro Stoxx 50	"4,440.32"
17/03/2023	S&P 500	"4,668.47"
17/03/2023	NASDAQ 100	"14,706.60"
17/03/2023	Hang Seng	"16,916.88"
17/03/2023	Nikkei 225	"32,060.69"
17/03/2023	Euro Stoxx 50	"4,404.78"
20/03/2023	S&P 500	"4,710.22"
20/03/2023	NASDAQ 100	"14,455.32"
20/03/2023	Hang Seng	"16,643.11"
20/03/2023	Nikkei 225	"31,717.32"
20/03/2023	Euro Stoxx 50	"4,338.29"
21/03/2023	S&P 500	"4,691.47"
21/03/2023	NASDAQ 100	"14,214.87"
21/03/2023	Hang Seng	"16,595.71"
21/03/2023	Nikkei 225	"31,343.49"
21/03/2023	Euro Stoxx 50	"4,467.35"
22/03/2023	S&P 500	"4,607.83"
22/03/2023	NASDAQ 100	"14,558.38"
22/03/2023	Hang Seng	"16,125.77"
22/03/2023	Nikkei 225	"31,805.82"
22/03/2023	Euro Stoxx 50	"4,539.98"
23/03/2023	S&P 500	"4,543.87"
23/03/2023	NASDAQ 100	"14,604.02"
23/03/2023	Hang Seng	"16,517.56"
23/03/2023	Nikkei 225	"32,196.16"
23/03/2023	Euro Stoxx 50	"4,626.73"
24/03/2023	S&P 500	"4,564.45"
24/03/2023	NASDAQ 100	"14,569.66"
24/03/2023	Hang Seng	"16,667.94"
24/03/2023	Nikkei 225	"32,330.20"
24/03/2023	Euro Stoxx 50	"4,581.75"
27/03/2023	S&P 500	"4,634.69"
27/03/2023	NASDAQ 100	"14,687.60"
27/03/2023	Hang Seng	"16,553.98"
27/03/2023	Nikkei 225	"31,938.54"
27/03/2023	Euro Stoxx 50	"4,599.95"
28/03/2023	S&P 500	"4,557.91"
28/03/2023	NASDAQ 100	"14,291.73"
28/03/2023	Hang Seng	"15,938.04"
28/03/2023	Nikkei 225	"31,381.87"
28/03/2023	Euro Stoxx 50	"4,601.28"
29/03/2023	S&P 500	"4,601.32"
29/03/2023	NASDAQ 100	"13,956.47"
29/03/2023	Hang Seng	"15,656.08"
29/03/2023	Nikkei 225	"31,123.22"
29/03/2023	Euro Stoxx 50	"4,568.44"
30/03/2023	S&P 500	"4,628.57"
30/03/2023	NASDAQ 100	"14,093.40"
30/03/2023	Hang Seng	"15,487.36"
30/03/2023	Nikkei 225	"31,450.73"
30/03/2023	Euro Stoxx 50	"4,544.94"
31/03/2023	S&P 500	"4,607.32"
31/03/2023	NASDAQ 100	"13,965.34"
31/03/2023	Hang Seng	"15,528.27"
31/03/2023	Nikkei 225	"31,367.39"
31/03/2023	Euro Stoxx 50	"4,510.61"
03/04/2023	S&P 500	"4,743.54"
03/04/2023	NASDAQ 100	"14,265.12"
03/04/2023	Hang Seng	"15,871.39"
03/04/2023	Nikkei 225	"31,091.41"
03/04/2023	Euro Stoxx 50	"4,486.14"
04/04/2023	S&P 500	"4,708.05"
04/04/2023	NASDAQ 100	"14,301.57"
04/04/2023	Hang Seng	"16,116.21"
04/04/2023	Nikkei 225	"31,450.98"
04/04/2023	Euro Stoxx 50	"4,378.47"
05/04/2023	S&P 500	"4,755.28"
05/04/2023	NASDAQ 100	"14,183.64"
05/04/2023	Hang Seng	"15,922.85"
05/04/2023	Nikkei 225	"31,544.38"
05/04/2023	Euro Stoxx 50	"4,463.19"
06/04/2023	S&P 500	"4,803.71"
06/04/2023	NASDAQ 100	"14,480.35"
06/04/2023	Hang Seng	"16,222.06"
06/04/2023	Nikkei 225	"31,795.98"
06/04/2023	Euro Stoxx 50	"4,503.20"
07/04/2023	S&P 500	"4,841.30"
07/04/2023	NASDAQ 100	"14,535.08"
07/04/2023	Hang Seng	"15,913.74"
07/04/2023	Nikkei 225	"31,795.98"
07/04/2023	Euro Stoxx 50	"4,529.67"
10/04/2023	S&P 500	"4,757.85"
10/04/2023	NASDAQ 100	"14,557.10"
10/04/2023	Hang Seng	"15,746.67"
10/04/2023	Nikkei 225	"31,587.40"
10/04/2023	Euro Stoxx 50	"4,601.60"
11/04/2023	S&P 500	"4,713.47"
11/04/2023	NASDAQ 100	"14,605.81"
11/04/2023	Hang Seng	"15,641.00"
11/04/2023	Nikkei 225	"30,800.74"
11/04/2023	Euro Stoxx 50	"4,542.19"
12/04/2023	S&P 500	"4,682.24"
12/04/2023	NASDAQ 100	"14,710.72"
12/04/2023	Hang Seng	"15,508.22"
12/04/2023	Nikkei 225	"30,940.75"
12/04/2023	Euro Stoxx 50	"4,575.67"
13/04/2023	S&P 500	"4,691.50"
13/04/2023	NASDAQ 100	"14,462.05"
13/04/2023	Hang Seng	"15,600.16"
13/04/2023	Nikkei 225	"30,389.39"
13/04/2023	Euro Stoxx 50	"4,470.35"
14/04/2023	S&P 500	"4,651.78"
14/04/2023	NASDAQ 100	"14,735.46"
14/04/2023	Hang Seng	"15,413.36"
14/04/2023	Nikkei 225	"30,060.81"
14/04/2023	Euro Stoxx 50	"4,449.62"
17/04/2023	S&P 500	"4,675.55"
17/04/2023	NASDAQ 100	"14,781.93"
17/04/2023	Hang Seng	"15,317.76"
17/04/2023	Nikkei 225	"29,960.82"
17/04/2023	Euro Stoxx 50	"4,450.17"
18/04/2023	S&P 500	"4,630.27"
18/04/2023	NASDAQ 100	"14,854.79"
18/04/2023	Hang Seng	"15,224.18"
18/04/2023	Nikkei 225	"30,431.62"
18/04/2023	Euro Stoxx 50	"4,406.64"
19/04/2023	S&P 500	"4,587.58"
19/04/2023	NASDAQ 100	"14,705.88"
19/04/2023	Hang Seng	"15,080.29"
19/04/2023	Nikkei 225	"30,112.13"
19/04/2023	Euro Stoxx 50	"4,453.29"
20/04/2023	S&P 500	"4,608.61"
20/04/2023	NASDAQ 100	"15,048.15"
20/04/2023	Hang Seng	"15,199.51"
20/04/2023	Nikkei 225	"29,728.66"
20/04/2023	Euro Stoxx 50	"4,530.69"
21/04/2023	S&P 500	"4,636.76"
21/04/2023	NASDAQ 100	"14,792.21"
21/04/2023	Hang Seng	"15,113.89"
21/04/2023	Nikkei 225	"29,609.12"
21/04/2023	Euro Stoxx 50	"4,501.93"
24/04/2023	S&P 500	"4,600.45"
24/04/2023	NASDAQ 100	"14,696.52"
24/04/2023	Hang Seng	"15,220.53"
24/04/2023	Nikkei 225	"30,212.80"
24/04/2023	Euro Stoxx 50	"4,503.04"
25/04/2023	S&P 500	"4,534.44"
25/04/2023	NASDAQ 100	"14,649.98"
25/04/2023	Hang Seng	"14,993.04"
25/04/2023	Nikkei 225	"30,016.35"
25/04/2023	Euro Stoxx 50	"4,419.91"
26/04/2023	S&P 500	"4,437.02"
26/04/2023	NASDAQ 100	"14,375.71"
26/04/2023	Hang Seng	"15,135.00"
26/04/2023	Nikkei 225	"30,531.44"
26/04/2023	Euro Stoxx 50	"4,484.38"
27/04/2023	S&P 500	"4,538.12"
27/04/2023	NASDAQ 100	"14,214.10"
27/04/2023	Hang Seng	"14,856.58"
27/04/2023	Nikkei 225	"30,708.31"
27/04/2023	Euro Stoxx 50	"4,463.62"
28/04/2023	S&P 500	"4,606.60"
28/04/2023	NASDAQ 100	"14,435.29"
28/04/2023	Hang Seng	"14,784.66"
28/04/2023	Nikkei 225	"30,809.68"
28/04/2023	Euro Stoxx 50	"4,495.09"
01/05/2023	S&P 500	"4,652.64"
01/05/2023	NASDAQ 100	"14,362.45"
01/05/2023	Hang Seng	"14,678.20"
01/05/2023	Nikkei 225	"30,823.90"
01/05/2023	Euro Stoxx 50	"4,479.05"
02/05/2023	S&P 500	"4,742.03"
02/05/2023	NASDAQ 100	"14,305.60"
02/05/2023	Hang Seng	"14,586.18"
02/05/2023	Nikkei 225	"30,936.03"
02/05/2023	Euro Stoxx 50	"4,449.66"
03/05/2023	S&P 500	"4,661.91"
03/05/2023	NASDAQ 100	"14,363.03"
03/05/2023	Hang Seng	"14,744.98"
03/05/2023	Nikkei 225	"31,475.82"
03/05/2023	Euro Stoxx 50	"4,539.09"
04/05/2023	S&P 500	"4,668.54"
04/05/2023	NASDAQ 100	"14,337.84"
04/05/2023	Hang Seng	"14,844.46"
04/05/2023	Nikkei 225	"31,063.61"
04/05/2023	Euro Stoxx 50	"4,516.30"
05/05/2023	S&P 500	"4,634.71"
05/05/2023	NASDAQ 100	"14,103.61"
05/05/2023	Hang Seng	"14,747.73"
05/05/2023	Nikkei 225	"31,620.90"
05/05/2023	Euro Stoxx 50	"4,476.00"
08/05/2023	S&P 500	"4,689.92"
08/05/2023	NASDAQ 100	"14,021.11"
08/05/2023	Hang Seng	"15,023.62"
08/05/2023	Nikkei 225	"32,051.81"
08/05/2023	Euro Stoxx 50	"4,474.46"
09/05/2023	S&P 500	"4,671.65"
09/05/2023	NASDAQ 100	"13,892.35"
09/05/2023	Hang Seng	"15,161.03"
09/05/2023	Nikkei 225	"32,485.63"
09/05/2023	Euro Stoxx 50	"4,562.11"
10/05/2023	S&P 500	"4,670.03"
10/05/2023	NASDAQ 100	"13,866.45"
10/05/2023	Hang Seng	"15,210.31"
10/05/2023	Nikkei 225	"32,768.42"
10/05/2023	Euro Stoxx 50	"4,609.59"
11/05/2023	S&P 500	"4,594.90"
11/05/2023	NASDAQ 100	"14,001.10"
11/05/2023	Hang Seng	"15,162.94"
11/05/2023	Nikkei 225	"32,968.28"
11/05/2023	Euro Stoxx 50	"4,626.59"
12/05/2023	S&P 500	"4,576.43"
12/05/2023	NASDAQ 100	"14,213.40"
12/05/2023	Hang Seng	"15,138.92"
12/05/2023	Nikkei 225	"32,636.39"
12/05/2023	Euro Stoxx 50	"4,636.42"
15/05/2023	S&P 500	"4,478.87"
15/05/2023	NASDAQ 100	"14,269.43"
15/05/2023	Hang Seng	"14,844.68"
15/05/2023	Nikkei 225	"32,279.67"
15/05/2023	Euro Stoxx 50	"4,581.69"
16/05/2023	S&P 500	"4,505.54"
16/05/2023	NASDAQ 100	"13,999.39"
16/05/2023	Hang Seng	"15,019.56"
16/05/2023	Nikkei 225	"32,539.31"
16/05/2023	Euro Stoxx 50	"4,579.22"
17/05/2023	S&P 500	"4,470.37"
17/05/2023	NASDAQ 100	"13,797.39"
17/05/2023	Hang Seng	"15,176.06"
17/05/2023	Nikkei 225	"33,178.02"
17/05/2023	Euro Stoxx 50	"4,556.32"
18/05/2023	S&P 500	"4,433.14"
18/05/2023	NASDAQ 100	"13,569.20"
18/05/2023	Hang Seng	"14,941.27"
18/05/2023	Nikkei 225	"32,653.97"
18/05/2023	Euro Stoxx 50	"4,599.39"
19/05/2023	S&P 500	"4,452.37"
19/05/2023	NASDAQ 100	"13,658.25"
19/05/2023	Hang Seng	"14,956.18"
19/05/2023	Nikkei 225	"33,475.63"
19/05/2023	Euro Stoxx 50	"4,623.78"
22/05/2023	S&P 500	"4,381.76"
22/05/2023	NASDAQ 100	"13,766.88"
22/05/2023	Hang Seng	"15,153.86"
22/05/2023	Nikkei 225	"33,226.17"
22/05/2023	Euro Stoxx 50	"4,502.31"
23/05/2023	S&P 500	"4,371.08"
23/05/2023	NASDAQ 100	"13,738.66"
23/05/2023	Hang Seng	"15,060.10"
23/05/2023	Nikkei 225	"33,192.17"
23/05/2023	Euro Stoxx 50	"4,469.13"
24/05/2023	S&P 500	"4,406.87"
24/05/2023	NASDAQ 100	"13,723.25"
24/05/2023	Hang Seng	"15,244.33"
24/05/2023	Nikkei 225	"33,342.89"
24/05/2023	Euro Stoxx 50	"4,418.34"
25/05/2023	S&P 500	"4,382.72"
25/05/2023	NASDAQ 100	"13,845.94"
25/05/2023	Hang Seng	"15,221.39"
25/05/2023	Nikkei 225	"34,271.68"
25/05/2023	Euro Stoxx 50	"4,427.79"
26/05/2023	S&P 500	"4,355.09"
26/05/2023	NASDAQ 100	"14,096.77"
26/05/2023	Hang Seng	"15,004.79"
26/05/2023	Nikkei 225	"34,490.02"
26/05/2023	Euro Stoxx 50	"4,372.89"
29/05/2023	S&P 500	"4,373.28"
29/05/2023	NASDAQ 100	"14,280.31"
29/05/2023	Hang Seng	"15,193.88"
29/05/2023	Nikkei 225	"34,539.79"
29/05/2023	Euro Stoxx 50	"4,427.20"
30/05/2023	S&P 500	"4,384.83"
30/05/2023	NASDAQ 100	"14,382.30"
30/05/2023	Hang Seng	"15,214.54"
30/05/2023	Nikkei 225	"34,635.36"
30/05/2023	Euro Stoxx 50	"4,329.55"
31/05/2023	S&P 500	"4,280.56"
31/05/2023	NASDAQ 100	"14,330.62"
31/05/2023	Hang Seng	"14,802.31"
31/05/2023	Nikkei 225	"34,160.00"
31/05/2023	Euro Stoxx 50	"4,378.31"
01/06/2023	S&P 500	"4,226.98"
01/06/2023	NASDAQ 100	"14,300.49"
01/06/2023	Hang Seng	"14,773.77"
01/06/2023	Nikkei 225	"34,717.25"
01/06/2023	Euro Stoxx 50	"4,336.29"
02/06/2023	S&P 500	"4,227.81"
02/06/2023	NASDAQ 100	"14,364.96"
02/06/2023	Hang Seng	"15,000.16"
02/06/2023	Nikkei 225	"34,708.07"
02/06/2023	Euro Stoxx 50	"4,421.68"
05/06/2023	S&P 500	"4,199.22"
05/06/2023	NASDAQ 100	"14,067.21"
05/06/2023	Hang Seng	"15,150.62"
05/06/2023	Nikkei 225	"34,756.55"
05/06/2023	Euro Stoxx 50	"4,369.82"
06/06/2023	S&P 500	"4,158.86"
06/06/2023	NASDAQ 100	"13,561.31"
06/06/2023	Hang Seng	"15,024.72"
06/06/2023	Nikkei 225	"34,639.58"
06/06/2023	Euro Stoxx 50	"4,350.72"
07/06/2023	S&P 500	"4,096.66"
07/06/2023	NASDAQ 100	"13,836.67"
07/06/2023	Hang Seng	"15,156.73"
07/06/2023	Nikkei 225	"34,667.01"
07/06/2023	Euro Stoxx 50	"4,383.43"
08/06/2023	S&P 500	"4,132.96"
08/06/2023	NASDAQ 100	"13,621.26"
08/06/2023	Hang Seng	"15,136.69"
08/06/2023	Nikkei 225	"35,734.76"
08/06/2023	Euro Stoxx 50	"4,379.40"
09/06/2023	S&P 500	"4,067.89"
09/06/2023	NASDAQ 100	"13,845.08"
09/06/2023	Hang Seng	"15,333.42"
09/06/2023	Nikkei 225	"35,266.36"
09/06/2023	Euro Stoxx 50	"4,333.17"
12/06/2023	S&P 500	"3,964.98"
12/06/2023	NASDAQ 100	"13,636.78"
12/06/2023	Hang Seng	"15,190.62"
12/06/2023	Nikkei 225	"35,311.69"
12/06/2023	Euro Stoxx 50	"4,355.54"
13/06/2023	S&P 500	"3,984.42"
13/06/2023	NASDAQ 100	"13,848.33"
13/06/2023	Hang Seng	"15,198.43"
13/06/2023	Nikkei 225	"35,627.04"
13/06/2023	Euro Stoxx 50	"4,357.59"
14/06/2023	S&P 500	"4,045.07"
14/06/2023	NASDAQ 100	"13,577.10"
14/06/2023	Hang Seng	"14,941.59"
14/06/2023	Nikkei 225	"36,092.79"
14/06/2023	Euro Stoxx 50	"4,442.54"
15/06/2023	S&P 500	"4,088.28"
15/06/2023	NASDAQ 100	"13,790.22"
15/06/2023	Hang Seng	"14,942.45"
15/06/2023	Nikkei 225	"36,299.87"
15/06/2023	Euro Stoxx 50	"4,471.02"
16/06/2023	S&P 500	"4,081.52"
16/06/2023	NASDAQ 100	"13,664.06"
16/06/2023	Hang Seng	"14,617.91"
16/06/2023	Nikkei 225	"35,865.44"
