? INDEX PRICES — ราคา Index รายวัน (กรอกหรือ Paste จาก Bloomberg)					
วันที่	S&P 500	NASDAQ 100	Hang Seng	Nikkei 225	Euro Stoxx 50
29/03/2023	"4,601.32"	"13,956.47"	"15,656.08"	"31,123.22"	"4,568.44"
30/03/2023	"4,628.57"	"14,093.40"	"15,487.36"	"31,450.73"	"4,544.94"
31/03/2023	"4,607.32"	"13,965.34"	"15,528.27"	"31,367.39"	"4,510.61"
03/04/2023	"4,743.54"	"14,265.12"	"15,871.39"	"31,091.41"	"4,486.14"
04/04/2023	"4,708.05"	"14,301.57"	"16,116.21"	"31,450.98"	"4,378.47"
05/04/2023	"4,755.28"	"14,183.64"	"15,922.85"	"31,544.38"	"4,463.19"
06/04/2023	"4,803.71"	"14,480.35"	"16,222.06"	"31,795.98"	"4,503.20"
07/04/2023	"4,841.30"	"14,535.08"	"15,913.74"	"31,795.98"	"4,529.67"
10/04/2023	"4,757.85"	"14,557.10"	"15,746.67"	"31,587.40"	"4,601.60"
11/04/2023	"4,713.47"	"14,605.81"	"15,641.00"	"30,800.74"	"4,542.19"
12/04/2023	"4,682.24"	"14,710.72"	"15,508.22"	"30,940.75"	"4,575.67"
13/04/2023	"4,691.50"	"14,462.05"	"15,600.16"	"30,389.39"	"4,470.35"
14/04/2023	"4,651.78"	"14,735.46"	"15,413.36"	"30,060.81"	"4,449.62"
17/04/2023	"4,675.55"	"14,781.93"	"15,317.76"	"29,960.82"	"4,450.17"
18/04/2023	"4,630.27"	"14,854.79"	"15,224.18"	"30,431.62"	"4,406.64"
19/04/2023	"4,587.58"	"14,705.88"	"15,080.29"	"30,112.13"	"4,453.29"
20/04/2023	"4,608.61"	"15,048.15"	"15,199.51"	"29,728.66"	"4,530.69"
21/04/2023	"4,636.76"	"14,792.21"	"15,113.89"	"29,609.12"	"4,501.93"
24/04/2023	"4,600.45"	"14,696.52"	"15,220.53"	"30,212.80"	"4,503.04"
25/04/2023	"4,534.44"	"14,649.98"	"14,993.04"	"30,016.35"	"4,419.91"
26/04/2023	"4,437.02"	"14,375.71"	"15,135.00"	"30,531.44"	"4,484.38"
27/04/2023	"4,538.12"	"14,214.10"	"14,856.58"	"30,708.31"	"4,463.62"
28/04/2023	"4,606.60"	"14,435.29"	"14,784.66"	"30,809.68"	"4,495.09"
01/05/2023	"4,652.64"	"14,362.45"	"14,678.20"	"30,823.90"	"4,479.05"
02/05/2023	"4,742.03"	"14,305.60"	"14,586.18"	"30,936.03"	"4,449.66"
03/05/2023	"4,661.91"	"14,363.03"	"14,744.98"	"31,475.82"	"4,539.09"
04/05/2023	"4,668.54"	"14,337.84"	"14,844.46"	"31,063.61"	"4,516.30"
05/05/2023	"4,634.71"	"14,103.61"	"14,747.73"	"31,620.90"	"4,476.00"
08/05/2023	"4,689.92"	"14,021.11"	"15,023.62"	"32,051.81"	"4,474.46"
09/05/2023	"4,671.65"	"13,892.35"	"15,161.03"	"32,485.63"	"4,562.11"
10/05/2023	"4,670.03"	"13,866.45"	"15,210.31"	"32,768.42"	"4,609.59"
11/05/2023	"4,594.90"	"14,001.10"	"15,162.94"	"32,968.28"	"4,626.59"
12/05/2023	"4,576.43"	"14,213.40"	"15,138.92"	"32,636.39"	"4,636.42"
15/05/2023	"4,478.87"	"14,269.43"	"14,844.68"	"32,279.67"	"4,581.69"
16/05/2023	"4,505.54"	"13,999.39"	"15,019.56"	"32,539.31"	"4,579.22"
17/05/2023	"4,470.37"	"13,797.39"	"15,176.06"	"33,178.02"	"4,556.32"
18/05/2023	"4,433.14"	"13,569.20"	"14,941.27"	"32,653.97"	"4,599.39"
19/05/2023	"4,452.37"	"13,658.25"	"14,956.18"	"33,475.63"	"4,623.78"
22/05/2023	"4,381.76"	"13,766.88"	"15,153.86"	"33,226.17"	"4,502.31"
23/05/2023	"4,371.08"	"13,738.66"	"15,060.10"	"33,192.17"	"4,469.13"
24/05/2023	"4,406.87"	"13,723.25"	"15,244.33"	"33,342.89"	"4,418.34"
25/05/2023	"4,382.72"	"13,845.94"	"15,221.39"	"34,271.68"	"4,427.79"
26/05/2023	"4,355.09"	"14,096.77"	"15,004.79"	"34,490.02"	"4,372.89"
29/05/2023	"4,373.28"	"14,280.31"	"15,193.88"	"34,539.79"	"4,427.20"
30/05/2023	"4,384.83"	"14,382.30"	"15,214.54"	"34,635.36"	"4,329.55"
31/05/2023	"4,280.56"	"14,330.62"	"14,802.31"	"34,160.00"	"4,378.31"
01/06/2023	"4,226.98"	"14,300.49"	"14,773.77"	"34,717.25"	"4,336.29"
02/06/2023	"4,227.81"	"14,364.96"	"15,000.16"	"34,708.07"	"4,421.68"
05/06/2023	"4,199.22"	"14,067.21"	"15,150.62"	"34,756.55"	"4,369.82"
06/06/2023	"4,158.86"	"13,561.31"	"15,024.72"	"34,639.58"	"4,350.72"
07/06/2023	"4,096.66"	"13,836.67"	"15,156.73"	"34,667.01"	"4,383.43"
08/06/2023	"4,132.96"	"13,621.26"	"15,136.69"	"35,734.76"	"4,379.40"
09/06/2023	"4,067.89"	"13,845.08"	"15,333.42"	"35,266.36"	"4,333.17"
12/06/2023	"3,964.98"	"13,636.78"	"15,190.62"	"35,311.69"	"4,355.54"
13/06/2023	"3,984.42"	"13,848.33"	"15,198.43"	"35,627.04"	"4,357.59"
14/06/2023	"4,045.07"	"13,577.10"	"14,941.59"	"36,092.79"	"4,442.54"
15/06/2023	"4,088.28"	"13,790.22"	"14,942.45"	"36,299.87"	"4,471.02"
16/06/2023	"4,081.52"	"13,664.06"	"14,617.91"	"35,865.44"	"4,490.45"
19/06/2023	"4,064.17"	"13,646.02"	"14,353.42"	"35,518.32"	"4,514.41"
20/06/2023	"4,150.47"	"13,536.93"	"13,979.76"	"35,706.51"	"4,540.73"
21/06/2023	"4,211.08"	"13,534.28"	"14,383.63"	"36,786.51"	"4,552.17"
22/06/2023	"4,177.80"	"13,552.07"	"14,654.14"	"36,559.40"	"4,526.85"
23/06/2023	"4,200.81"	"13,734.49"	"14,689.51"	"36,120.55"	"4,594.93"
26/06/2023	"4,192.50"	"13,768.79"	"14,801.41"	"36,399.75"	"4,557.35"
27/06/2023	"4,216.40"	"13,558.81"	"14,642.38"	"36,708.15"	"4,518.24"
28/06/2023	"4,281.51"	"13,605.46"	"14,784.52"	"36,671.53"	"4,598.83"
29/06/2023	"4,233.84"	"13,770.87"	"14,501.89"	"36,624.77"	"4,713.12"
30/06/2023	"4,276.34"	"13,621.51"	"14,323.24"	"36,509.59"	"4,710.34"
03/07/2023	"4,259.12"	"13,351.47"	"14,332.76"	"36,472.17"	"4,722.30"
04/07/2023	"4,166.90"	"13,422.75"	"14,536.45"	"36,384.84"	"4,686.28"
05/07/2023	"4,143.34"	"13,564.69"	"14,564.83"	"37,326.86"	"4,722.36"
06/07/2023	"4,063.42"	"13,726.00"	"14,815.11"	"38,648.17"	"4,638.67"
07/07/2023	"4,032.24"	"13,590.84"	"14,650.40"	"38,543.89"	"4,689.03"
10/07/2023	"3,885.80"	"13,519.78"	"14,359.69"	"38,499.41"	"4,709.33"
11/07/2023	"3,830.17"	"13,538.14"	"14,017.65"	"39,854.03"	"4,753.39"
12/07/2023	"3,867.98"	"13,676.36"	"13,949.78"	"39,560.11"	"4,864.36"
13/07/2023	"3,851.80"	"13,572.52"	"14,006.45"	"39,843.21"	"4,861.97"
14/07/2023	"3,849.37"	"13,593.25"	"13,561.82"	"40,794.37"	"4,844.01"
17/07/2023	"3,812.08"	"13,540.17"	"13,134.06"	"41,631.82"	"4,853.71"
18/07/2023	"3,790.75"	"13,574.75"	"13,279.15"	"42,905.02"	"4,789.80"
19/07/2023	"3,807.75"	"13,805.25"	"13,155.15"	"42,994.43"	"4,788.05"
20/07/2023	"3,694.38"	"13,652.28"	"13,266.92"	"43,009.03"	"4,735.00"
21/07/2023	"3,754.18"	"13,665.52"	"13,456.90"	"43,437.40"	"4,785.16"
24/07/2023	"3,756.93"	"13,590.97"	"13,704.14"	"43,106.85"	"4,949.35"
25/07/2023	"3,732.74"	"13,470.47"	"13,868.26"	"42,969.91"	"5,001.46"
26/07/2023	"3,750.71"	"13,387.83"	"13,833.38"	"43,129.16"	"4,933.81"
27/07/2023	"3,747.34"	"13,550.58"	"13,885.95"	"43,377.36"	"4,977.52"
28/07/2023	"3,788.31"	"14,172.13"	"13,624.47"	"43,268.76"	"5,053.80"
31/07/2023	"3,795.11"	"14,398.37"	"13,598.80"	"43,634.91"	"4,964.81"
01/08/2023	"3,790.78"	"14,331.26"	"13,957.23"	"44,161.02"	"4,973.90"
02/08/2023	"3,828.23"	"14,450.74"	"13,705.76"	"44,046.39"	"4,924.36"
03/08/2023	"3,845.47"	"14,351.23"	"13,406.17"	"44,340.31"	"4,915.85"
04/08/2023	"3,819.01"	"14,335.11"	"13,381.57"	"44,219.68"	"4,949.02"
07/08/2023	"3,807.33"	"14,538.81"	"13,250.52"	"43,356.07"	"4,926.74"
08/08/2023	"3,797.22"	"14,439.27"	"13,665.29"	"43,439.03"	"4,856.13"
09/08/2023	"3,824.00"	"14,517.36"	"13,450.65"	"43,755.36"	"4,777.55"
10/08/2023	"3,868.89"	"14,674.32"	"13,261.98"	"43,328.35"	"4,739.88"
11/08/2023	"3,874.57"	"14,722.31"	"13,298.64"	"42,486.48"	"4,717.36"
14/08/2023	"3,844.19"	"14,991.77"	"13,495.10"	"42,595.22"	"4,773.83"
15/08/2023	"3,831.78"	"15,093.19"	"13,562.27"	"43,156.64"	"4,737.91"
16/08/2023	"3,791.89"	"14,929.51"	"13,606.96"	"43,238.65"	"4,779.87"
17/08/2023	"3,734.77"	"15,307.33"	"13,500.57"	"42,934.70"	"4,761.60"
18/08/2023	"3,777.08"	"15,280.91"	"13,697.57"	"43,121.81"	"4,721.82"
21/08/2023	"3,811.63"	"15,416.07"	"13,909.34"	"43,897.49"	"4,642.18"
22/08/2023	"3,915.55"	"15,214.73"	"13,853.86"	"42,880.88"	"4,606.14"
23/08/2023	"3,919.60"	"15,119.02"	"13,903.03"	"43,620.75"	"4,558.89"
24/08/2023	"3,887.89"	"15,054.02"	"13,843.62"	"44,372.45"	"4,495.67"
25/08/2023	"3,936.98"	"15,133.69"	"13,996.56"	"44,479.27"	"4,461.55"
28/08/2023	"3,937.85"	"15,067.01"	"14,092.60"	"45,493.55"	"4,447.20"
29/08/2023	"3,986.55"	"15,446.52"	"13,762.75"	"45,930.17"	"4,465.63"
30/08/2023	"4,053.01"	"15,453.66"	"13,677.60"	"45,106.74"	"4,484.85"
31/08/2023	"4,022.33"	"15,028.56"	"13,897.76"	"44,815.34"	"4,408.48"
01/09/2023	"3,944.12"	"14,771.68"	"14,028.53"	"45,330.01"	"4,426.75"
04/09/2023	"3,993.60"	"14,920.36"	"13,932.79"	"44,598.31"	"4,450.65"
05/09/2023	"4,014.37"	"14,563.19"	"13,992.67"	"44,444.66"	"4,484.02"
06/09/2023	"4,030.52"	"14,212.88"	"13,727.29"	"44,732.23"	"4,475.53"
07/09/2023	"4,056.43"	"13,923.01"	"13,911.40"	"44,436.36"	"4,536.47"
08/09/2023	"4,108.41"	"14,049.06"	"13,921.27"	"43,822.31"	"4,539.28"
11/09/2023	"4,156.80"	"13,931.17"	"13,805.99"	"44,933.94"	"4,573.64"
12/09/2023	"4,125.53"	"13,861.80"	"13,854.00"	"45,312.76"	"4,509.00"
13/09/2023	"4,123.93"	"13,760.86"	"13,983.47"	"45,435.05"	"4,485.31"
14/09/2023	"4,161.98"	"13,906.79"	"14,015.93"	"45,108.57"	"4,428.67"
15/09/2023	"4,129.99"	"14,102.28"	"14,476.16"	"44,484.31"	"4,451.01"
18/09/2023	"4,134.76"	"14,024.01"	"14,552.18"	"44,153.82"	"4,438.05"
19/09/2023	"4,182.52"	"14,181.87"	"14,590.98"	"44,269.01"	"4,441.94"
20/09/2023	"4,125.99"	"14,229.31"	"14,664.17"	"44,030.73"	"4,435.29"
21/09/2023	"4,058.28"	"14,315.95"	"14,683.87"	"44,499.88"	"4,384.57"
22/09/2023	"4,120.49"	"14,541.56"	"14,827.66"	"45,173.72"	"4,403.52"
25/09/2023	"4,179.65"	"14,759.90"	"14,766.23"	"45,254.72"	"4,390.34"
26/09/2023	"4,269.30"	"14,633.22"	"14,760.64"	"44,602.03"	"4,370.73"
27/09/2023	"4,315.92"	"14,869.63"	"14,948.57"	"43,455.86"	"4,367.11"
28/09/2023	"4,382.72"	"15,205.02"	"14,770.22"	"44,216.75"	"4,332.55"
29/09/2023	"4,260.59"	"15,657.76"	"14,730.04"	"44,911.13"	"4,429.34"
02/10/2023	"4,281.41"	"15,372.33"	"14,821.71"	"45,512.39"	"4,405.92"
03/10/2023	"4,319.13"	"15,557.00"	"15,122.30"	"46,596.13"	"4,333.47"
04/10/2023	"4,276.31"	"15,837.49"	"15,450.51"	"46,538.65"	"4,251.30"
05/10/2023	"4,232.28"	"16,035.83"	"15,955.73"	"47,913.80"	"4,158.68"
06/10/2023	"4,251.87"	"16,244.71"	"15,586.98"	"47,648.26"	"4,221.46"
09/10/2023	"4,243.08"	"16,540.55"	"15,709.77"	"48,086.64"	"4,196.43"
10/10/2023	"4,183.17"	"16,597.47"	"15,694.26"	"48,641.14"	"4,186.64"
11/10/2023	"4,205.94"	"16,283.75"	"15,766.90"	"48,126.81"	"4,205.09"
12/10/2023	"4,301.73"	"16,166.48"	"15,999.73"	"48,851.05"	"4,252.17"
13/10/2023	"4,373.61"	"16,182.04"	"16,213.34"	"47,907.93"	"4,190.40"
16/10/2023	"4,312.40"	"16,324.19"	"15,814.92"	"47,460.17"	"4,168.15"
17/10/2023	"4,388.51"	"16,085.20"	"15,421.58"	"47,732.55"	"4,153.41"
18/10/2023	"4,419.36"	"15,937.52"	"15,109.73"	"47,180.68"	"4,164.30"
19/10/2023	"4,395.16"	"16,151.25"	"15,075.41"	"47,298.80"	"4,162.39"
20/10/2023	"4,419.99"	"15,858.34"	"15,010.89"	"47,585.09"	"4,152.20"
23/10/2023	"4,458.79"	"15,696.86"	"15,208.87"	"46,433.27"	"4,150.98"
24/10/2023	"4,465.44"	"15,733.56"	"15,139.16"	"47,291.85"	"4,171.96"
25/10/2023	"4,428.87"	"15,769.40"	"15,372.21"	"48,153.58"	"4,129.31"
26/10/2023	"4,512.01"	"15,857.80"	"15,336.07"	"48,865.22"	"4,138.76"
27/10/2023	"4,507.52"	"16,329.09"	"15,075.46"	"49,513.97"	"4,068.78"
30/10/2023	"4,470.36"	"16,182.29"	"14,982.62"	"50,496.38"	"4,068.17"
31/10/2023	"4,505.87"	"16,438.99"	"14,786.44"	"49,414.34"	"4,066.91"
01/11/2023	"4,578.61"	"16,308.78"	"14,457.67"	"48,885.16"	"4,050.84"
02/11/2023	"4,615.19"	"16,257.75"	"14,664.06"	"49,141.31"	"4,067.88"
03/11/2023	"4,679.25"	"15,747.05"	"14,852.67"	"48,210.95"	"4,144.13"
06/11/2023	"4,676.45"	"15,892.74"	"14,974.95"	"47,516.45"	"4,135.77"
07/11/2023	"4,802.69"	"15,844.39"	"14,891.40"	"48,021.83"	"4,140.96"
08/11/2023	"4,850.07"	"15,897.57"	"14,833.01"	"47,998.68"	"4,122.69"
09/11/2023	"4,861.61"	"15,794.47"	"15,058.48"	"48,303.38"	"4,119.23"
10/11/2023	"4,831.28"	"15,863.86"	"15,024.14"	"48,802.49"	"4,104.11"
13/11/2023	"4,800.25"	"15,740.77"	"14,978.07"	"48,278.44"	"4,092.59"
14/11/2023	"4,794.77"	"15,906.35"	"15,168.88"	"48,892.63"	"4,097.54"
15/11/2023	"4,833.53"	"15,949.80"	"15,310.73"	"48,711.74"	"4,135.67"
16/11/2023	"4,828.51"	"16,170.58"	"15,591.20"	"49,937.56"	"4,099.42"
17/11/2023	"4,763.95"	"16,593.46"	"15,781.20"	"50,052.99"	"4,058.77"
20/11/2023	"4,769.28"	"16,502.47"	"15,715.75"	"50,411.73"	"4,011.46"
21/11/2023	"4,774.59"	"16,487.64"	"15,591.35"	"49,066.62"	"3,956.55"
22/11/2023	"4,759.15"	"16,747.20"	"15,512.59"	"48,807.30"	"3,965.25"
23/11/2023	"4,710.01"	"16,699.45"	"15,712.69"	"48,139.06"	"3,947.92"
24/11/2023	"4,656.42"	"16,920.25"	"15,855.27"	"47,992.89"	"3,904.66"
27/11/2023	"4,592.36"	"16,925.61"	"15,639.98"	"47,820.64"	"3,902.35"
28/11/2023	"4,566.17"	"17,011.80"	"15,910.74"	"47,357.25"	"3,875.42"
29/11/2023	"4,564.92"	"17,005.99"	"15,649.00"	"46,445.47"	"3,888.44"
30/11/2023	"4,561.11"	"17,070.52"	"15,461.73"	"45,722.04"	"3,917.52"
01/12/2023	"4,531.89"	"17,296.78"	"15,418.83"	"45,255.20"	"3,807.65"
04/12/2023	"4,487.33"	"17,276.82"	"15,718.06"	"44,796.17"	"3,809.37"
05/12/2023	"4,451.46"	"16,929.33"	"15,869.22"	"44,919.59"	"3,783.60"
06/12/2023	"4,494.25"	"16,914.62"	"16,350.17"	"44,634.47"	"3,757.33"
07/12/2023	"4,532.30"	"16,184.49"	"16,659.40"	"44,581.41"	"3,753.95"
08/12/2023	"4,495.58"	"15,827.50"	"16,446.43"	"45,201.37"	"3,751.44"
11/12/2023	"4,477.01"	"16,088.33"	"16,472.89"	"46,356.97"	"3,722.19"
12/12/2023	"4,409.43"	"16,335.16"	"16,403.25"	"46,184.41"	"3,730.91"
13/12/2023	"4,493.26"	"15,961.55"	"16,279.65"	"45,400.47"	"3,735.72"
14/12/2023	"4,554.30"	"15,785.83"	"16,192.83"	"45,782.49"	"3,685.53"
15/12/2023	"4,653.32"	"15,960.48"	"16,053.51"	"45,224.79"	"3,710.63"
18/12/2023	"4,551.79"	"15,799.88"	"16,159.12"	"44,514.70"	"3,716.37"
19/12/2023	"4,579.96"	"15,404.49"	"15,738.38"	"45,985.78"	"3,747.72"
20/12/2023	"4,516.83"	"15,396.56"	"15,963.32"	"45,734.86"	"3,692.29"
21/12/2023	"4,473.11"	"15,197.49"	"15,753.26"	"45,922.10"	"3,651.78"
22/12/2023	"4,435.96"	"15,253.30"	"16,202.04"	"45,954.13"	"3,630.61"
25/12/2023	"4,514.72"	"15,286.01"	"16,591.84"	"45,593.79"	"3,658.12"
26/12/2023	"4,465.91"	"15,524.33"	"16,612.63"	"46,629.23"	"3,648.02"
27/12/2023	"4,463.96"	"15,215.78"	"16,431.88"	"46,720.62"	"3,645.29"
28/12/2023	"4,369.74"	"14,860.43"	"16,600.70"	"47,095.79"	"3,600.94"
29/12/2023	"4,372.51"	"14,586.00"	"16,648.82"	"47,462.64"	"3,619.42"
01/01/2024	"4,356.33"	"14,895.46"	"16,867.48"	"46,997.33"	"3,681.24"
02/01/2024	"4,337.09"	"14,790.60"	"16,667.20"	"45,771.71"	"3,687.67"
03/01/2024	"4,317.15"	"14,597.93"	"16,951.38"	"46,275.84"	"3,704.56"
04/01/2024	"4,307.62"	"14,496.84"	"17,020.49"	"47,093.20"	"3,767.39"
05/01/2024	"4,368.62"	"14,564.78"	"17,204.64"	"47,389.59"	"3,832.22"
08/01/2024	"4,346.10"	"14,480.84"	"16,970.60"	"47,141.04"	"3,877.63"
09/01/2024	"4,328.70"	"14,721.05"	"16,952.15"	"47,320.46"	"3,946.74"
10/01/2024	"4,241.30"	"14,740.85"	"17,272.30"	"46,609.76"	"3,893.42"
11/01/2024	"4,243.76"	"14,746.78"	"17,357.44"	"46,801.43"	"3,878.43"
12/01/2024	"4,223.60"	"15,006.30"	"17,575.69"	"47,260.17"	"3,835.10"
15/01/2024	"4,226.24"	"15,180.11"	"17,151.64"	"46,464.35"	"3,841.29"
16/01/2024	"4,187.94"	"15,105.00"	"17,256.53"	"46,866.80"	"3,857.52"
17/01/2024	"4,157.39"	"14,794.60"	"17,319.32"	"47,230.34"	"3,877.69"
18/01/2024	"4,144.89"	"14,849.45"	"17,975.09"	"46,627.72"	"3,855.76"
19/01/2024	"4,151.30"	"15,135.26"	"17,988.83"	"46,720.19"	"3,885.90"
22/01/2024	"4,205.71"	"15,110.55"	"17,507.66"	"47,148.66"	"3,866.97"
23/01/2024	"4,194.09"	"15,374.80"	"17,727.48"	"47,751.76"	"3,914.67"
24/01/2024	"4,138.17"	"15,675.11"	"17,767.93"	"48,447.06"	"3,949.36"
25/01/2024	"4,145.56"	"15,669.61"	"18,124.45"	"47,146.04"	"3,909.23"
26/01/2024	"4,075.12"	"15,339.71"	"18,192.79"	"48,274.43"	"3,899.41"
29/01/2024	"4,042.59"	"15,444.77"	"18,134.16"	"47,884.42"	"3,858.58"
30/01/2024	"4,008.37"	"15,516.20"	"18,361.23"	"48,392.41"	"3,893.94"
31/01/2024	"4,003.13"	"16,055.18"	"18,811.53"	"49,456.74"	"3,858.38"
01/02/2024	"3,937.62"	"16,256.25"	"18,736.34"	"48,968.16"	"3,891.12"
02/02/2024	"3,999.44"	"16,229.77"	"18,635.00"	"48,097.00"	"3,825.23"
05/02/2024	"3,994.86"	"16,482.56"	"18,429.44"	"48,438.11"	"3,859.08"
06/02/2024	"3,916.79"	"16,607.38"	"18,560.25"	"47,936.81"	"3,892.82"
07/02/2024	"3,939.24"	"16,764.42"	"18,530.92"	"47,731.63"	"3,863.78"
08/02/2024	"4,003.01"	"17,225.88"	"18,117.59"	"47,552.08"	"3,823.46"
09/02/2024	"3,936.34"	"16,752.13"	"18,164.54"	"46,494.03"	"3,850.70"
12/02/2024	"4,000.09"	"16,636.87"	"18,292.09"	"46,382.23"	"3,838.26"
13/02/2024	"3,986.54"	"16,860.75"	"18,525.35"	"47,537.23"	"3,792.19"
14/02/2024	"3,893.21"	"17,178.09"	"18,208.66"	"48,128.39"	"3,832.90"
15/02/2024	"3,941.75"	"17,165.35"	"18,385.13"	"46,735.92"	"3,860.65"
